num_elements,mean_rejection_score,max_rejection_score,ece,cace,mece,calibration,error,predicted_error,top1_calibration,top1_error,top1_predicted_error
591,0.0,0.0,0.0,2.6655704310485362e-08,2.6655704633595956e-08,0.0,0.0,0.0,0.0,0.0,0.0
4712,0.0078064776,0.07758087,0.04696183779446095,0.09392368722096697,0.09692464303383398,0.04616691,0.053973388,0.0078064776,0.04696184244633025,0.050933786078098474,0.0039719436
5188,0.017585108,0.15539819,0.05891657280021203,0.11783310473945388,0.12420592504735166,0.056896783,0.07448189,0.017585108,0.05891653036723113,0.06804163454124904,0.009125104
5545,0.028895011,0.23313099,0.06997136355951307,0.1403707956809575,0.15173805949116098,0.066239335,0.09513435,0.028895011,0.06997132623925927,0.08530207394048693,0.015330748
5860,0.042075526,0.3108009,0.08116343631679288,0.162326856612692,0.1802654317621485,0.074863255,0.11693878,0.042075526,0.08116340808214384,0.10409556313993173,0.022932155
6157,0.05708628,0.38881373,0.0900145954022416,0.1800291601102421,0.20666600453770353,0.08087801,0.1379643,0.05708628,0.09001455788735215,0.12213740458015267,0.032122847
6504,0.07690687,0.46660835,0.09557833618783423,0.19510585552472093,0.2306102096191338,0.08446292,0.16136979,0.07690687,0.09557829983761537,0.14083640836408365,0.04525811
7026,0.109028354,0.54434824,0.1016959844747229,0.2176621251411093,0.26810442017687713,0.088026196,0.19705455,0.109028354,0.10166675275694839,0.17136350697409622,0.069696754
7525,0.14050286,0.6216222,0.10529977538656951,0.23071863091906597,0.2966128010607241,0.088881224,0.22938408,0.14050286,0.10529973985942892,0.2001328903654485,0.09483315
8321,0.19329329,0.82945096,0.11035242838264156,0.24538060469359693,0.3354170762236166,0.08748834,0.28078163,0.19329329,0.11023482307120164,0.25045066698714097,0.14021584
